,P_ABK,P_ADF,P_ADO,P_AEL,P_AFH,P_AIK,P_AJD,P_AKL,P_ALB,P_AOM,P_AOP,P_APF,P_APL,P_APO,P_ARC,P_ATN,P_ATU,P_AUI,P_AVV,P_AXH,P_AZW,P_BBO,P_BCO,P_BCP,P_BEB,P_BFB,P_BGK,P_BGP,P_BII,P_BIK,P_BIW,P_BJA,P_BJQ,P_BKR,P_BNI,P_BNV,P_BON,P_BQL,P_BRD,P_BSK,P_BWT,P_BWZ,P_BXP,P_BYA,P_BYX,P_CAV,P_CBQ,P_CEJ,P_CGM,P_CHL,P_CHP,P_CIP,P_CIT,P_CMD,P_CMH,P_COR,P_CPQ,P_CQZ,P_CRT,P_CRZ,P_CSB,P_CTQ,P_CUT,P_CUW,P_CWR,P_CYD,P_CZA,P_DAQ,P_DBG,P_DBP,P_DDD,P_DDI,P_DED,P_DFS,P_DGH,P_DHA,P_DII,P_DKE,P_DNH,P_DOG,P_DRC,P_DRI,P_DTB,P_DTM,P_DTY,P_DUD,P_DVJ,P_DWJ,P_DXV,P_DZO,P_DZV,P_EAL,P_EBL,P_EDY,P_EER,P_EEW,P_EFF,P_EFL,P_EGJ,P_EHJ
P_BGP,0.01522819680723722,0.035296234147568516,0.022355670287422632,0.019278134453312536,0.03493374085322659,0.016033873206437507,0.028063495149394286,0.03979205654399049,0.018521940962003765,0.027140080121474272,0.003944772997274339,0.015630191457560644,0.021463745246346286,0.02538989168940983,0.013492197745361251,0.021435379562768402,0.04562375637757182,0.0374773800178186,0.023902795338624338,0.03731420513691578,0.01587444125000949,0.025387384032230988,0.021699251968675264,0.06528085835832749,0.022647122598688056,0.03790116177638722,0.04201568814145525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BII,0.04360196088480354,0.01983632055094812,0.044252845332250636,0.04278013842894878,0.05562139221558607,0.05327674348156074,0.028958682842974696,0.0370735093833851,0.04468408548913228,0.016826883401271118,0.03892157464697456,0.044382526122337534,0.047971902964132035,0.04310880593335847,0.05065496793010536,0.03668435770188732,0.013016439605358898,0.0342214630020396,0.022234497723132157,0.019384556352932097,0.030693364918170696,0.0191879197934528,0.05596359864233095,0.044383935945340146,0.021644101852465843,0.039197256651454584,0.037701128908827895,0.041481157192151584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BIK,0.04784871731823201,0.03105187820406269,0.04869675202721713,0.045851135754745295,0.05036318458954061,0.05386876603376159,0.033404297478020324,0.03524614766183746,0.02914894929495833,0.018282730786183757,0.04247992849570496,0.048833788517788,0.05262896195062468,0.0474750409478508,0.053516341522941956,0.04320291927636478,0.025131837278640132,0.03606065951976011,0.023913785835791904,0.03254206977129587,0.035472963112772,0.022845602552788717,0.057317342794306746,0.06093328683896835,0.023543203541576074,0.04546935478979325,0.044145623848804987,0.04537445483970239,0.022387705777950902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BIW,0.04918274047874854,0.031328215301864505,0.020842750610224562,0.028389636577455288,0.03288385953625218,0.032440874217566786,0.02879706641309107,0.02403318349698794,0.05164747139018524,0.035527832582355964,0.04343128089292394,0.028269126074217138,0.025385343586408787,0.06152421723191626,0.04261952732023113,0.042188287912641544,0.05379877282057515,0.020604734917003875,0.030777143288485426,0.03275225760157643,0.05341536924893452,0.03175024612503035,0.023755843954698826,0.02412562938039123,0.03331676132219315,0.016384954195846183,0.017634420035827613,0.0428428596734621,0.050678239205796415,0.05352953129815392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BJA,0.021864779006429125,0.025815936415322156,0.016298314176621618,0.009090561368804876,0.03744341162340722,0.016680635059854263,0.01544385839095819,0.024145354584265092,0.03842821787436491,0.030371879839744747,0.023650575299553712,0.008758498330188097,0.003982273722388037,0.03375079799056655,0.03033016824879608,0.014198511929071107,0.04889604002370578,0.031128641280982135,0.02485269621187738,0.02543937045211671,0.02683821730294289,0.0260087480667565,0.016198332414171266,0.046932890173098214,0.025163822960750593,0.02236196478398046,0.023564347858576366,0.02188056226425605,0.04418720459589984,0.04865417314064661,0.028300160923223124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BJQ,0.034476270056373944,0.020711849217296442,0.020813295390204874,0.016566154562842664,0.04341052390837647,0.025692843692359937,0.010778306963527176,0.026564129291206613,0.04953350874912657,0.02539220770236373,0.035993269620862765,0.019385174773519698,0.013034750055138683,0.04570086568107875,0.04077988290812334,0.024615505113646834,0.043404760672073724,0.02962425568685296,0.020864061589247685,0.01734580439184165,0.03969416916878345,0.020521928198882804,0.025843653186032902,0.03481201163391775,0.02093882833398128,0.013077421190741076,0.014455428945555977,0.03445074096445446,0.03670638828596543,0.04320519812476465,0.020668258489770767,0.013116610004113984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BKR,0.03193661761990415,0.02566525441136189,0.022147645021537096,0.014045497000815798,0.020922896023257326,0.023933321812904113,0.01964922822911868,0.017669587940866798,0.04924293559486422,0.028809012652294134,0.03498083733989552,0.018938895691142106,0.0186007683712304,0.04281789702916223,0.04072509646397318,0.02310350661696168,0.045503923457212575,0.03246812837230082,0.023149156464112964,0.030783353764657833,0.03726879135416138,0.026447090728470776,0.013264940595422296,0.038002622291101344,0.023740316278433333,0.022416463525721794,0.02289627771058157,0.03328431441385003,0.045385280455231734,0.04520267359349438,0.0242070840251373,0.016538777705744596,0.0230347839798867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BNI,0.010736694463379836,0.03296233259343117,0.027701018988482633,0.015231074157786626,0.039179633956941906,0.024233176452952913,0.01838806604838951,0.03561604877018228,0.03544710755477692,0.0202262340538211,0.019269697792134652,0.017397931170117176,0.01821211544549389,0.018246092239162053,0.03012157077577357,0.005825197421548702,0.038557437998392445,0.04406370036662842,0.015320960935916497,0.0319079245486126,0.012702749977860698,0.016770808746150834,0.025379885106120756,0.06223802725826067,0.015457405021538967,0.03666199462658824,0.039020446332659976,0.017062492813189882,0.033037019008984446,0.03834106477394938,0.0435870557505317,0.0155272641827204,0.02766009257034294,0.024946629832503182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BNV,0.015609780683918122,0.027698334552822702,0.01643846735556542,0.00850362846084315,0.03206917225311973,0.013082400123832315,0.016329812399412783,0.030142205261061775,0.030592281526554604,0.027790531049262514,0.01515170247860386,0.008229588385819013,0.011521666285742263,0.028086466563095068,0.02316824639457999,0.012904543850904879,0.04616210897478628,0.032844314713510826,0.02201202403233271,0.025427720562407705,0.0197276058354786,0.023929084165510244,0.0140025944024666,0.05430654366648685,0.022426945400567572,0.031049402602948115,0.03075332001589573,0.01329261306139794,0.04285403184065689,0.04589943970246484,0.03371734900611262,0.00998123128676956,0.021576786275994422,0.020094371973265978,0.011384092849232929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BON,0.04639136232102093,0.018133776137358337,0.03655365372982804,0.034075484515998296,0.044283099586637495,0.04327738787172881,0.03212733266239334,0.025915932493352046,0.04143568429506154,0.03458430317355236,0.03653659158980506,0.03668988618134447,0.04046125847029713,0.05882401445838459,0.041877959370056145,0.04249583476059955,0.026934119124258308,0.023142647320478722,0.03380699627296104,0.024507014873296828,0.049532840742281856,0.03116210848129166,0.04635473742779678,0.03569708156138507,0.03468917344071459,0.03307870387424601,0.0317517984687501,0.036506567217419024,0.031988958923354724,0.03469632487742968,0.04189496809880618,0.036505687460996895,0.030811715239501214,0.03498454665991759,0.04220715981916313,0.03483342773831112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BQL,0.015393594317119293,0.03870830108645817,0.02595542579115085,0.022165280688501595,0.04352501425617601,0.02584053130258912,0.03052197773736258,0.043070703384089075,0.021046520686328948,0.025360883758261288,0.010280410298582628,0.018986691891954736,0.024545541122577463,0.023016595143503366,0.018423600136781015,0.022262218150941038,0.04335448814136884,0.041003124880916675,0.02626024497220381,0.040494007556672186,0.014606057270871704,0.027929994522020482,0.02599344126890445,0.06875283319980323,0.02474101800654389,0.041376352594204614,0.04540176648545862,0.010254140106362653,0.036619019238643094,0.04315576485245349,0.04641273123831423,0.024585702125422132,0.03741793592650541,0.03604150657228633,0.017578281059311213,0.015955235943103385,0.04006694270842331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BRD,0.025704726355283813,0.022813309996580825,0.018919447137799084,0.014120997131928157,0.04311569273478116,0.024263525959761282,0.012586235338653062,0.02709747106280993,0.04336222229083679,0.027509196007877972,0.028656973758584763,0.013320468235013573,0.010201133760518986,0.03701602077479468,0.03511613398425173,0.016174509946209628,0.0456661702795383,0.032030922871502006,0.022756636592427444,0.01983996262597192,0.030934995280427507,0.022726930017052928,0.02406814893173018,0.043430431370180995,0.02287821420040974,0.020420714409637695,0.021261613791056323,0.02689017162459258,0.03919615004053279,0.045460219643111754,0.02678604333535031,0.007880557467589864,0.008793165812151003,0.02243028599906803,0.018880086652343465,0.013845598361931276,0.033069440349058885,0.029586755009633054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BSK,0.02233357752353893,0.03683905918994199,0.020816213992944792,0.01634222815285608,0.02447663965907142,0.018132393609229962,0.02916843350267616,0.025429357856619178,0.04245327475001023,0.04028400402144729,0.027098941713656836,0.01922969578542617,0.018920048652157965,0.03337237014357786,0.03462837571991877,0.02874536458283422,0.057374833411521754,0.034958744614184245,0.03454905060924239,0.040600796568542374,0.02876245818771539,0.03752259315399227,0.015525941710567159,0.047130134245513135,0.035108662008115375,0.027090487371033183,0.028150322520357325,0.025179323660494784,0.056674812262591384,0.057075400839591506,0.030461597889802256,0.019359008368201713,0.028676446223339886,0.011894980327852921,0.027504226766080553,0.016235491122848073,0.04661290023158826,0.028825392711984935,0.027109800239029536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BWT,0.013787823758664103,0.026693285391647583,0.019846752983800557,0.01608139079806403,0.042390718465252886,0.0229774917691225,0.013703028314938541,0.029609037066409282,0.03369943371927945,0.028475455272918476,0.01773686288496619,0.009642801771269211,0.011509437736048156,0.025942622939864636,0.02671742431447764,0.008831279522243949,0.0467298651399733,0.036072019086825675,0.02353500688336378,0.025911339178050746,0.01866648818069393,0.023693514935529476,0.02263030448314821,0.055080170587971544,0.023693034609353146,0.030098109973883146,0.031600890430493835,0.015662198121591135,0.04051862371799065,0.046517546302446686,0.03577217875668188,0.008444997868557574,0.021172960515714736,0.021587855961167732,0.008253019629205488,0.010593107051285564,0.035144285524106054,0.017719960101534322,0.012638464503253902,0.025759202802108166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BWZ,0.050560055943401246,0.02850905240445416,0.05108221931357355,0.05035688602366117,0.0653265568815625,0.06166253171902674,0.03643283818205712,0.04651730774668584,0.04704445664475212,0.026149857380106716,0.0463863605923112,0.05120382853849842,0.05457217961562482,0.0500168771216265,0.05813839084460401,0.042507343953721625,0.02044028199414474,0.03758434913630835,0.031175518038997808,0.02557223738744694,0.037548621279614836,0.027704689927879736,0.06401633951578165,0.040511831271864,0.030550996792245856,0.045077014597241886,0.04352793499581628,0.04869319730722032,0.009787970678337395,0.02549395163563451,0.05816597229480361,0.05100567674288667,0.0425421584431258,0.05415170988989961,0.0398239016797701,0.050440664398875255,0.030170732656032085,0.042432395360149734,0.04506087262803363,0.06508296779496116,0.04652876574765394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BXP,0.02353620455808488,0.022764884010248957,0.018783187588899637,0.011652841885140892,0.042926740442298945,0.024077018606966174,0.012512217429379385,0.026933595842369682,0.04181111742108729,0.027462069150012234,0.026811315708110326,0.012115618019731999,0.010075229674802571,0.03491970541112971,0.033701124610318774,0.014445939221803159,0.045638424961868346,0.03271224046132936,0.02268463524062046,0.01987292117430234,0.028756718258522516,0.022649023488887126,0.023894144052468026,0.04552108006188014,0.022811124522916858,0.021092430798748014,0.02251921579451495,0.02498615588680859,0.039207505008608576,0.04543141966745333,0.028312279191188627,0.007710689268802818,0.010958338058299617,0.022238213260066756,0.01674648261576185,0.011694893116225116,0.03304214899185857,0.027569337315213507,0.003233455891144193,0.026927557817230236,0.010516472079553281,0.04511982935473013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BYA,0.02816276600406983,0.01668207963654416,0.012399746529665997,0.00811229566769083,0.02976653910014167,0.01709066113408306,0.009504873539400069,0.01633331396257133,0.039950613762492586,0.020651844857057417,0.026813779312138842,0.01200352035862514,0.015601442241024771,0.04030113576563166,0.031186068812850614,0.020986187957796047,0.038819846174346063,0.025208860228103848,0.01480975911350263,0.02028743140468761,0.032851894876855914,0.017246404842749006,0.019539406260170738,0.04094399230656447,0.015285301763459581,0.014504917786737513,0.017369678235362812,0.025441100919574224,0.03642421087683218,0.03854909286870474,0.02150561064001682,0.01188289055743348,0.013928886279955853,0.010738685953134342,0.022168185717373598,0.013412240752387325,0.027045850568987857,0.028621542411268346,0.0142125075197829,0.020512777018240735,0.015712525704034735,0.04460118514120285,0.01404314099480735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BYX,0.023364986304297303,0.04485147900571452,0.021163055544982056,0.021535019758523302,0.036847834468253474,0.019230329716361523,0.03543750657142805,0.03487519625751144,0.042469314016122583,0.04892550411595143,0.02732943177236021,0.021060917287715315,0.018470951518533757,0.03455434641257212,0.034467537248833495,0.03095854008185724,0.06697299793200208,0.034233295634514806,0.04308544781013593,0.0463234712429878,0.03424940037431342,0.04531675974736144,0.012682629761742436,0.045907059163052266,0.04355706653345753,0.0286241614899022,0.030070944863771754,0.02546213730227556,0.06431243071133295,0.06669330720544735,0.02923286036295696,0.021254017831930972,0.0309013725423318,0.022992549967328166,0.03211069462032791,0.021464320743969898,0.05531953576269487,0.03104373588986984,0.028643989945536873,0.012706384104066671,0.027063315761377063,0.07179377227865892,0.028508916026395978,0.028275774259956428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CAV,0.021407610072122465,0.04477182320388533,0.024040699865017993,0.021449585030951228,0.036720408085972434,0.014402345433993382,0.03535397270463434,0.03477301850573309,0.03756325397246768,0.0488331814343491,0.025360296074770583,0.020992879578561236,0.018414492662031174,0.021997703084641246,0.026022771779247326,0.03089621481670418,0.06687764895688308,0.04047784393961708,0.04299293594301297,0.046244978592276345,0.0341694811198536,0.045227868267254556,0.01732960925699004,0.06078969170015576,0.04346499194754455,0.034490705530619725,0.03732034461255656,0.02304175774545088,0.06422621590908234,0.06659786429008295,0.04111069371830202,0.021185816481788647,0.03083893962184738,0.02450583489702054,0.0320346716074936,0.021374166299530935,0.055227465096636126,0.03098142514475348,0.02858467159160629,0.015047574754756016,0.027004370646248513,0.07171309336515867,0.028449193608959557,0.02818333869505278,0.01588237627057059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CBQ,0.043379519188205984,0.004298242082527069,0.025230891244664152,0.023527633646415563,0.03666281981790533,0.03193834731165742,0.021176357406316126,0.016911344860773534,0.05065567310775816,0.027471604776568497,0.04015830356227842,0.025368150425286128,0.02917149912157555,0.055459361959908006,0.041508191239801054,0.035544527806679625,0.023736979188598958,0.02008655236719516,0.024133848636305705,0.011134167683307338,0.04801373475371403,0.0218795349584933,0.034835755338444685,0.026112635734449354,0.026839872671082853,0.02280297020126895,0.021674216248806062,0.03919919495346849,0.021407610072120706,0.03508911061853698,0.03026853475145363,0.025191147909534962,0.020833474026191547,0.02398307496965297,0.0372497746838815,0.028467897709524948,0.017507350484872335,0.04265477816141991,0.022797419261835088,0.035318843922190146,0.03098557272344495,0.03027644009786992,0.0227330415474937,0.015427766818305185,0.0436936986417953,0.04360196088480529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CEJ,0.03646213797900583,0.011262427535839338,0.016065542007665384,0.016585476327195904,0.04028402915548987,0.027887543832329963,0.016981387840813468,0.021243029656808753,0.043195666657662245,0.021492981761497162,0.03240828019195221,0.019156797566399493,0.019743721153825982,0.04875285711627558,0.03577332901757976,0.02968103530876112,0.03403080423675037,0.01834634492208118,0.021114400891336125,0.010734740332207473,0.040848450019555095,0.01683255060886163,0.02948358516191725,0.03382315671252309,0.021130936302016907,0.011648190674948971,0.010806987739422262,0.03147120869938227,0.028228237086293722,0.03382314593588478,0.023110205537813986,0.01857410092037071,0.012162413658478576,0.022258868704407696,0.030760783475068654,0.02443196500488627,0.021435332327726847,0.03493902703281736,0.01707123738924308,0.0312501617915837,0.024492843138353593,0.03512797308413806,0.017406728268115304,0.011515815646320347,0.03669394590392155,0.036614766488400056,0.011515063004605112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CGM,0.04563633861299524,0.022807024641544223,0.022852070475121944,0.026051252442646312,0.04298741066870948,0.03540113820204374,0.022179097186313855,0.0269964147619636,0.054391892962094165,0.02934073020563685,0.04347222944593374,0.026821682162011792,0.02196931155043362,0.057476006855035504,0.045809339582667113,0.03701320987161236,0.045675389259424395,0.023439601105821703,0.02569795201956609,0.01989465827804146,0.050467580851474465,0.023161160333628774,0.024231852776871864,0.023258927253852375,0.02836572278296458,0.00573786528249279,0.0047187644569352555,0.04240514347340548,0.03922963211655179,0.045468664484456967,0.016270431893469727,0.024703975388589334,0.01316963268280708,0.022296867448143826,0.03923399678849989,0.0323342094537667,0.03307896221165463,0.045794346343192294,0.02127699363161853,0.026970363234487177,0.03289216814075955,0.045130679254803206,0.022863927418534744,0.017694082400622504,0.028535446325578584,0.03758106238519605,0.02277914934759381,0.011646031298256728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
